Intent Display Name,Language,Phrase
,,"email address is (h a s e e b at the rate a l t v e n t u r e s c o)[@email, email]"
,,"correct email address is (a b d u l l a h at gmail.com)[@email, email]"
,,"email address is (m o r s e l l dot a l l i s o n at the rate live dot com)[@email, email]"
,,"(m o r s e l l dot a l l i s o n at the rate live dot com)[@email, email]"
No.further.question,en,"no i don't have"
,,"No"
No felling Well,en,"Not great"
,,"I had a bad day"
,,"Actually, I have a fever."
,,"my leg is broken"
,,"my condition is not fine"
,,"Actually, I am a very ill today. I'm going to talk to Doctor."
,,"I'm exhausted."
,,"I’m feeling a bit weak"
,,"I’m not feeling so good"
,,"I’m feeling a bit out of sorts"
,,"I’m not feeling my best"
,,"I’m feeling a bit rundown"
,,"I’m not feeling up to snuff"
,,"I’m feeling a bit off"
,,"I’m not feeling well"
,,"I’m feeling a bit under the weather"
,,"I’m not at my best"
,,"I’m feeling a bit ill"
,,"I’m not feeling so hot"
,,"I’m feeling weak"
,,"I’m not in the best shape"
,,"I’m feeling out of sorts"
,,"I’m feeling rundown"
,,"I’m not myself today"
,,"I’m feeling off"
,,"I’m not up to par"
,,"I’m feeling under the weather"
,,"Felling ill"
,,"i am tired"
,,"i am not good"
,,"i am sick"
,,"Not Feeling Well"
yes.send.information,en,"Yes, please send the information."
,,"Yeah wouldn't hurt to resend."
,,"Absolutely flick it back over."
,,"For sure I'd like another look."
,,"Yeah send it again please."
,,"Totally spin it back to me."
,,"Yep blast it over to me again."
,,"Sure could use a refresh on that info."
,,"Yeah go ahead and resend that."
,,"Absolutely hit me with it again."
,,"Yep wouldn't mind a re-send."
,,"Sure I need that info one more time."
,,"Definitely throw it my way again."
,,"Yep zap it over to me."
,,"Totally give it another send."
,,"Yeah I could use a resend."
,,"For sure toss it over again."
,,"Absolutely flick it through once more."
,,"Yep shoot it my way again."
,,"Sure thing send it over."
,,"Yeah hit me up with that info again."
,,"yes"
yes.follow.up,en,"You can send me an email. Yes."
,,"All right, go ahead and check with me."
,,"Naturally, you can gauge my interest."
,,"Most assuredly, I'm okay with you checking in."
,,"By all means, feel free to check in."
,,"Indubitably, you can gauge my interest."
,,"Undoubtedly, I'm open to your check-in."
,,"Positively, go ahead and check with me."
,,"Definitely, you can gauge my interest."
,,"Without a doubt, feel free to check in."
,,"Of course, you're welcome to gauge my interest."
,,"Roger that, I'm open to your check-in."
,,"OK, you can definitely gauge my interest."
,,"Yeah, I'm okay with you checking in."
,,"Yup, go ahead and check in with me."
,,"Sure thing, feel free to gauge my interest."
,,"Absolutely, I'm open to your check-in."
,,"Indeed, you have my permission to gauge my interest."
,,"Certainly, go ahead and check with me."
,,"Affirmative, you can definitely gauge my interest."
,,"Absolutely, feel free to check in."
No.Relevant,en,"Afraid not, they don't line up with my job activities."
,,"Nope, they're not something I'm involved with at work."
,,"Nah, they don't touch on my area of focus."
,,"No, those topics are outside my bailiwick."
,,"Not at all, they're pretty far off from what I handle."
,,"No, they're not relevant to my current projects."
,,"Hmm, not the best fit for what I'm focused on now."
,,"No, sorry, those don't fit into my daily grind."
,,"Nah, those topics don't cross paths with my duties."
,,"Nope, doesn't resonate with my current responsibilities."
,,"Not particularly, they're not within my field of work."
,,"No, those are a bit beyond my purview at the moment."
,,"Not really, they don't dovetail with my current role."
,,"Afraid not, those topics are a bit outside my scope."
,,"Hmm, not exactly. They're not something I'm working on."
,,"No, sorry, that's not really my area of expertise."
,,"Nah, doesn't quite align with my current tasks."
,,"Not quite, they're a bit off the mark for me."
,,"Nope, not really in my wheelhouse, to be honest."
,,"Nah, they don't really match up with what I'm doing these days."
not.mine.email,en,"No"
,,"No, that's not the correct email for me."
,,"Please don’t, that email is incorrect."
,,"No, you have the wrong email."
,,"Don’t send it, that's not my email."
,,"No, that email address is wrong."
,,"No, that's not the right email for me."
,,"Wrong email, don’t send it there."
,,"No, you've got my email wrong."
,,"That email's not mine, so no need to send it."
,,"No, that admin@altventures.co one isn't mine."
,,"Please don't use that, it's not the right email."
,,"No, you've mixed up my email."
,,"That's not my email, please don't send it there."
,,"No, that email isn't mine."
,,"No need, that's not the correct email for me."
,,"You've got the wrong one, so no."
,,"No, my email's different from that."
,,"Don't send it there, that's not my right email."
,,"Nah, you've got the wrong email for me."
,,"Nope."
,,"No, that's not mine."
yes,en,"Yeah, that sounds good."
,,"yes it is"
,,"Yeah, that's fine."
,,"We'll yeah."
,,"Yeah, I will be yeah."
,,"I guess"
,,"I might"
,,"Yes, I am interested."
,,"yeah"
,,"Yes, I did"
,,"yes"
,,"All right"
,,"Naturally"
,,"Most assuredly"
,,"By all means"
,,"Indubitably"
,,"Undoubtedly"
,,"Positively"
,,"Definitely"
,,"Without a doubt"
,,"Of course"
,,"Roger"
,,"OK"
,,"Yeah"
,,"Yup"
,,"Sure"
,,"Absolutely"
,,"Indeed"
,,"Certainly"
,,"Affirmative"
email.check,en,"i would like to tell my email address"
Topic,en,"Topic"
,,"The concern raised isn't something I'm particularly interested in."
,,"The point of discussion isn't resonating with me, sorry."
,,"The aspect being discussed isn't holding my attention."
,,"The field of discussion isn't sparking my interest."
,,"The subject matter doesn't appeal to me at the moment."
,,"The category of discussion isn't quite what I'm interested in."
,,"The focus area isn't what I had in mind, unfortunately."
,,"I'm not finding the discussion points engaging, sorry."
,,"The theme of conversation isn't captivating me."
,,"I'm not really into the subject area being discussed."
,,"The topic doesn't hold my interest, I'm afraid."
,,"The issue being discussed doesn't grab my attention."
,,"I'm feeling disinterested in the content of the conversation."
,,"The theme of discussion isn't aligning with my interests."
,,"I'm not finding the topic particularly compelling, to be honest."
,,"I'm afraid the subject matter isn't resonating with me."
,,"The focus of the conversation isn't quite what I'm looking for."
,,"I'm not feeling engaged with the discussion topic."
,,"The theme isn't really catching my attention, unfortunately."
,,"I'm sorry, but the subject matter doesn't pique my interest."
,,"Concern"
,,"Point"
,,"Aspect"
,,"Field"
,,"Subject matter"
,,"Category"
,,"Focus area"
,,"Discussion point"
,,"Theme"
,,"Subject area"
,,"Matter"
,,"Issue"
,,"Content"
,,"Area"
,,"Focus"
,,"Discussion"
,,"Subject"
,,"It's really the topics that I'm questioning. They don't fit my learning goals right now."
,,"The topics are where I'm stuck. They don't align with what I was hoping to learn."
,,"It's about the topics. I'm not seeing the connection to my interests."
,,"The thing is, the topics don't quite match my expectations."
,,"My hesitation? It's the topics. I need them to be more tailored to my area."
,,"Honestly, it's the topics that aren't quite clicking with me."
,,"The topics are a bit off for me. I need content that's a closer fit to my work."
,,"I'm hesitating because of the topics. They don't really speak to my current challenges."
,,"It's the topics that are giving me pause. I'm not sure they'll be beneficial for me."
,,"The topics are my main issue. I was hoping for a bit more variety."
,,"My concern is with the topics. They don't seem to align with my professional goals."
,,"Yeah, the topics aren't quite what I'm looking for at the moment."
,,"It's primarily the topics that are holding me back. I need something more relevant."
,,"I'm on the fence because of the topics. They don't exactly gel with my needs."
,,"The topics are where I'm hitting a snag. I was hoping for something a bit different."
,,"Actually, my reservation is about the topics. They're not really in my wheelhouse."
,,"My main hang-up is with the topics. They don't quite match up with my interests."
,,"It's the topics for me. I'm not convinced they're a fit for my current focus."
,,"To be honest, I'm a bit iffy on whether the topics align with what I need."
,,"Yeah, it's actually the topics that I'm not too sure about."
Scheduling,en,"Unfortunately, I have some schedule conflicts inhibiting my availability."
,,"I won't be available due to other time allocations."
,,"I have a busy schedule, making it difficult to join."
,,"Time management is a concern, so I won't be able to participate."
,,"I have some calendar clashes during that time."
,,"I'm afraid I won't have the time available to join."
,,"I'm unable to commit due to prior time commitments."
,,"There are some scheduling issues preventing my availability."
,,"My schedule is quite busy, so I won't be available."
,,"I won't be able to attend due to time limitations."
,,"Unfortunately, I have other commitments during that time slot."
,,"I'm facing some time constraints, making it difficult to commit."
,,"My agenda is fully booked, so I can't make it."
,,"I won't be available due to prior engagements."
,,"I have some scheduling conflicts preventing me from joining."
,,"Availability is limited due to my current schedule."
,,"Timing is tight for me, so I won't be able to join."
,,"I'm afraid I have another appointment at that time."
,,"My timetable is quite packed, so I won't be available."
,,"Unfortunately, I have prior commitments on my calendar."
,,"Time availability"
,,"Time commitments"
,,"Schedule clashes"
,,"Time allocation"
,,"Busy schedule"
,,"Time limitations"
,,"Availability conflicts"
,,"Prior engagements"
,,"Scheduling issues"
,,"Time management"
,,"Calendar clashes"
,,"Appointments"
,,"Scheduling conflicts"
,,"Time constraints"
,,"Commitments"
,,"Availability"
,,"Timing"
,,"Agenda"
,,"Timetable"
,,"Calendar"
,,"The scheduling's what's getting me. I need to see if I can shuffle things around."
,,"It's all about the scheduling for me. I've got other commitments clashing."
,,"Timing's the issue. I'm trying to see where I can squeeze this in."
,,"It's a scheduling thing. My calendar's just too crowded right now."
,,"The issue for me is finding the time. My schedule's overloaded."
,,"Scheduling's my main concern. I've got a lot competing for my time."
,,"My dilemma is the schedule. It's like Tetris trying to fit everything in."
,,"It's the timing that's not working out for me. I'm booked solid."
,,"The scheduling part is where I'm stuck. My days are just back-to-back."
,,"Honestly, it's about finding the right slot in my schedule. It's tight."
,,"Scheduling's the blocker for me. I've got a lot on my agenda."
,,"Timing's my challenge. My calendar's a battlefield right now."
,,"It's the scheduling that's tough. I've got commitments to navigate around."
,,"I'm wrestling with my schedule here. It's a bit of a jigsaw puzzle."
,,"The timing's a bit tricky for me. My agenda's packed."
,,"It's really a matter of scheduling for me. I'm juggling a lot at the moment."
,,"My main issue? Fitting it into my crazy calendar. It's a bit hectic."
,,"Yeah, scheduling's my hiccup. I've got a lot on my plate right now."
,,"To be honest, it's all about the timing for me. I'm just swamped."
,,"Actually, it's my schedule that's super tight around then."
yes.will.take.early.bid.discount,en,"That sounds good."
,,"I think so. Send me the information."
,,"Yeah, I'd like to register."
,,"Yeah, I will be able to take advantage of the early bird."
,,"Yeah, I will be able to pay."
,,"Yeah, I will be able to pay fee before the 8th March."
,,"Indeed, I'd love to take advantage of that pricing."
,,"Yeah, absolutely. That's a fantastic offer."
,,"Sure, that's right up my alley. I'm in."
,,"Uh-huh, sign me up. That's a no-brainer."
,,"Totally, I'm ready to jump on that deal."
,,"Yes, please. I've gotta grab that offer."
,,"Definitely, that's exactly what I've been looking for."
,,"Yeah, let's do it. I don't want to miss that price."
,,"For sure, I'm keen to take advantage of that."
,,"Yep, count me interested. That's amazing value."
,,"Oh yeah, I'm all for snagging that deal."
,,"Absolutely, that sounds like a steal."
,,"Yes, indeed. I'm definitely on board."
,,"Sure thing, you can put me down for that."
,,"100%! I've been waiting for a deal just like this."
,,"Yep, I'm in. That price is unbeatable."
,,"For sure, I'd be crazy to miss out on it."
,,"Yeah, definitely. I'm all over that offer."
,,"Absolutely, count me in for that savings!"
,,"Oh, totally! That deal's too good to pass up."
Confirmation.date,en,"I will pay on (8)[@sys.number, number] (March)[@month, month]"
,,"i will pay before (May)[@month, month] (9)[@sys.number, number]"
,,"Looking at confirming by (March)[@month, month] (18th)[@sys.number, number]. I'll reach out with my decision then."
,,"You can expect my confirmation by (March)[@month, month] (17th)[@sys.number, number]. I'll be in touch."
,,"I'll have a definite answer for you by (March)[@month, month] (16th)[@sys.number, number]. That's my cutoff."
,,"I'll shoot for confirming around (February)[@month, month] (25th)[@sys.number, number]. That gives me enough time."
No,en,"and so nah"
,,"No, I don't think so."
,,"No."
,,"Not interested."
,,"I'm afraid not."
,,"Contradict."
,,"Never."
,,"I object."
,,"I dissent."
,,"I refuse."
,,"Nah."
,,"I'll pass."
,,"I disagree."
,,"Deny."
,,"Nix."
,,"No way."
,,"Negatory."
,,"Refuse."
,,"Decline."
,,"Absolutely not."
,,"Nope."
,,"Not at all."
,,"Negative."
furture.Event.Attend,en,"Yes, please. I’d like to know what’s happening."
,,"Absolutely, I’d like to stay in the loop."
,,"Yeah, why not? I’d like to keep my options open."
,,"Sure, I’d be keen to see it."
,,"Okay, that works for me."
,,"You bet, I’d love to know about future events."
,,"Cool, I’d like to see what’s coming up."
,,"Certainly, I’d be glad to receive it."
,,"Yes, that would be helpful."
,,"Alright, I’m looking forward to it."
,,"Indeed, please send it over."
,,"Totally, I’d love to have it."
,,"Of course, I’d be interested."
,,"Yep, sounds good to me."
,,"For sure, I’d like to check it out."
,,"Yes, please do."
,,"Definitely, I’d appreciate that."
,,"Yeah, that’d be great!"
,,"Sure thing, I’d love to see it."
,,"Absolutely, send it my way!"
Yes.are.relevant,en,"I think so."
,,"could be"
,,"i am not sure"
,,"maybe"
,,"They could be"
,,"Yeah, the topics are relevant."
,,"yes these topic are relevent."
,,"Absolutely, they fit my role like a glove."
,,"Yep, those are right in my ballpark."
,,"Uh-huh, they're right in my field of play."
